missile,mode,coverer,release_s,burst_s,start_s,end_s,duration_s
M1,single_cloud_relay,FY1-B1,0.005336559352824889,0.02243055739587549,4.897530807640019,7.415420350186585,2.517889542546566
M1,single_cloud_relay,FY1-B3,2.5011596755123824,7.360420350186586,7.415420350186585,10.77071378232241,3.3552934321358254
M1,single_cloud_relay,FY4-B2,3.178540425707111,15.978269731086373,16.725553819221258,20.33215116896808,3.6065973497468207
M1,single_cloud_relay,FY5-B2,15.110991197188513,19.520423039793542,23.629298080588516,27.183654739790075,3.5543566592015594
M1,single_cloud_relay,FY3-B2,38.8527460221,50.6357297219,54.559868838792454,55.935894839769716,1.3760260009772622
M2,single_cloud_relay,FY2-B2,3.6273124646598305,7.0100132297803475,7.026965897016675,10.914483923923996,3.887518026907321
M2,single_cloud_relay,FY4-B1,1.6263749443785913,13.399472147722896,14.197061411639034,17.803269731086658,3.6062083194476244
M2,single_cloud_relay,FY2-B3,4.9897453200271,7.2810375069831,18.118269731086706,21.673803390647503,3.5555336595607976
M2,single_cloud_relay,FY3-B2,38.8527460221,50.6357297219,54.51106207609712,55.930040957933784,1.418978881836665
M2,single_cloud_relay,FY3-B1,37.85036571,49.2851003357,62.43160742522225,62.58969458342547,0.15808715820321595
M2,spatial_joint,,,,17.803269731086658,18.118269731086706,0.31500000000004746
M3,single_cloud_relay,FY5-B1,13.727423728907802,15.615959297829944,15.756884743386607,19.23060529515283,3.473720551766224
M3,single_cloud_relay,FY4-B3,6.322846851873908,18.870605295152902,19.23060529515283,22.588475631858255,3.3578703367054246
M3,single_cloud_relay,FY3-B2,38.8527460221,50.6357297219,54.856687991624625,55.58380072355861,0.7271127319339854
