missile,window_left_s,window_right_s,time_s,margin_m
M1,4.5475308076,11.1207137823,4.5475308076,-1.5108386906663807
M1,4.5475308076,11.1207137823,4.5975308076,-1.2953716789835763
M1,4.5475308076,11.1207137823,4.6475308076,-1.0797768150319609
M1,4.5475308076,11.1207137823,4.6975308076,-0.8640570853367251
M1,4.5475308076,11.1207137823,4.7475308076,-0.6482157669970814
M1,4.5475308076,11.1207137823,4.797530807599999,-0.43225645832200676
M1,4.5475308076,11.1207137823,4.847530807599999,-0.21618311355356568
M1,4.5475308076,11.1207137823,4.897530807599999,-8.197966927525613e-08
M1,4.5475308076,11.1207137823,4.947530807599999,0.21628784753606212
M1,4.5475308076,11.1207137823,4.997530807599999,0.4326753960387819
M1,4.5475308076,11.1207137823,5.0475308075999985,0.6491567370025955
M1,4.5475308076,11.1207137823,5.097530807599998,0.8657254303691797
M1,4.5475308076,11.1207137823,5.147530807599998,1.082374347155481
M1,4.5475308076,11.1207137823,5.197530807599998,1.2990955826106205
M1,4.5475308076,11.1207137823,5.247530807599998,1.5158803561474041
M1,4.5475308076,11.1207137823,5.297530807599998,1.7327188953670234
M1,4.5475308076,11.1207137823,5.347530807599997,1.949600169486084
M1,4.5475308076,11.1207137823,5.397530807599997,2.1665111234904497
M1,4.5475308076,11.1207137823,5.447530807599997,2.383439108517206
M1,4.5475308076,11.1207137823,5.497530807599997,2.600368791623808
M1,4.5475308076,11.1207137823,5.547530807599997,2.8172829019322014
M1,4.5475308076,11.1207137823,5.5975308075999965,3.034161928618296
M1,4.5475308076,11.1207137823,5.647530807599996,3.2509837611855996
M1,4.5475308076,11.1207137823,5.697530807599996,3.4677232589958926
M1,4.5475308076,11.1207137823,5.747530807599996,3.6843517334347444
M1,4.5475308076,11.1207137823,5.797530807599996,3.9008363216166044
M1,4.5475308076,11.1207137823,5.847530807599996,4.117139204404364
M1,4.5475308076,11.1207137823,5.8975308075999955,4.333215227902858
M1,4.5475308076,11.1207137823,5.947530807599995,4.549015199758186
M1,4.5475308076,11.1207137823,5.997530807599995,4.76447999221089
M1,4.5475308076,11.1207137823,6.047530807599995,4.979540257580513
M1,4.5475308076,11.1207137823,6.097530807599995,5.194114190654131
M1,4.5475308076,11.1207137823,6.147530807599995,5.408104691155052
M1,4.5475308076,11.1207137823,6.197530807599994,5.621394184660927
M1,4.5475308076,11.1207137823,6.247530807599994,5.833844163379492
M1,4.5475308076,11.1207137823,6.297530807599994,6.0452857116635315
M1,4.5475308076,11.1207137823,6.347530807599994,6.255511814819094
M1,4.5475308076,11.1207137823,6.397530807599994,6.464265640260675
M1,4.5475308076,11.1207137823,6.4475308075999935,6.67122993709545
M1,4.5475308076,11.1207137823,6.497530807599993,6.876006075141426
M1,4.5475308076,11.1207137823,6.547530807599993,7.078084746347915
M1,4.5475308076,11.1207137823,6.597530807599993,7.276815648844693
M1,4.5475308076,11.1207137823,6.647530807599993,7.471353849274479
M1,4.5475308076,11.1207137823,6.697530807599993,7.660593087480301
M1,4.5475308076,11.1207137823,6.7475308075999925,7.8430723488318925
M1,4.5475308076,11.1207137823,6.797530807599992,8.013484114530604
M1,4.5475308076,11.1207137823,6.847530807599992,8.169015330742402
M1,4.5475308076,11.1207137823,6.897530807599992,8.310148803073094
M1,4.5475308076,11.1207137823,6.947530807599992,8.432900431098378
M1,4.5475308076,11.1207137823,6.997530807599992,8.532556317518953
M1,4.5475308076,11.1207137823,7.047530807599991,8.604059921112366
M1,4.5475308076,11.1207137823,7.097530807599991,8.64285113933875
M1,4.5475308076,11.1207137823,7.147530807599991,8.646011008833206
M1,4.5475308076,11.1207137823,7.197530807599991,8.61319347927898
M1,4.5475308076,11.1207137823,7.247530807599991,8.546736680328669
M1,4.5475308076,11.1207137823,7.2975308075999905,8.45087582768622
M1,4.5475308076,11.1207137823,7.34753080759999,8.330627660760358
M1,4.5475308076,11.1207137823,7.39753080759999,4.66846215797335
M1,4.5475308076,11.1207137823,7.44753080759999,3.119080469990025
M1,4.5475308076,11.1207137823,7.49753080759999,3.3405020054748418
M1,4.5475308076,11.1207137823,7.54753080759999,3.562084963587349
M1,4.5475308076,11.1207137823,7.5975308075999894,3.7838251893433075
M1,4.5475308076,11.1207137823,7.647530807599989,4.005717812406605
M1,4.5475308076,11.1207137823,7.697530807599989,4.227757107588315
M1,4.5475308076,11.1207137823,7.747530807599989,4.449936321782916
M1,4.5475308076,11.1207137823,7.797530807599989,4.6722474573385915
M1,4.5475308076,11.1207137823,7.847530807599989,4.894680061480598
M1,4.5475308076,11.1207137823,7.897530807599988,5.117222842952369
M1,4.5475308076,11.1207137823,7.947530807599988,5.339862821152157
M1,4.5475308076,11.1207137823,7.997530807599988,5.562583376820273
M1,4.5475308076,11.1207137823,8.047530807599987,5.785364214438049
M1,4.5475308076,11.1207137823,8.097530807599988,6.008180332601205
M1,4.5475308076,11.1207137823,8.147530807599988,6.231000628697581
M1,4.5475308076,11.1207137823,8.197530807599987,6.453784256933197
M1,4.5475308076,11.1207137823,8.247530807599986,6.6764811744589005
M1,4.5475308076,11.1207137823,8.297530807599987,6.8990285374370774
M1,4.5475308076,11.1207137823,8.347530807599988,7.121341442257226
M1,4.5475308076,11.1207137823,8.397530807599987,7.343301626380555
M1,4.5475308076,11.1207137823,8.447530807599986,7.564759065867242
M1,4.5475308076,11.1207137823,8.497530807599986,7.785489007978979
M1,4.5475308076,11.1207137823,8.547530807599987,8.005179166207856
M1,4.5475308076,11.1207137823,8.597530807599986,8.223355437071685
M1,4.5475308076,11.1207137823,8.647530807599985,8.439277303571028
M1,4.5475308076,11.1207137823,8.697530807599986,8.651730013567095
M1,4.5475308076,11.1207137823,8.747530807599986,8.858573709770488
M1,4.5475308076,11.1207137823,8.797530807599985,9.05564418166322
M1,4.5475308076,11.1207137823,8.847530807599984,9.161833532178997
M1,4.5475308076,11.1207137823,8.897530807599985,9.199464201491994
M1,4.5475308076,11.1207137823,8.947530807599986,9.177358095812593
M1,4.5475308076,11.1207137823,8.997530807599984,9.100112436253447
M1,4.5475308076,11.1207137823,9.047530807599983,8.980165918411588
M1,4.5475308076,11.1207137823,9.097530807599984,8.798224889157323
M1,4.5475308076,11.1207137823,9.147530807599985,8.604557079624099
M1,4.5475308076,11.1207137823,9.197530807599984,8.405256980288069
M1,4.5475308076,11.1207137823,9.247530807599983,8.202122485417034
M1,4.5475308076,11.1207137823,9.297530807599983,7.996259892453363
M1,4.5475308076,11.1207137823,9.347530807599984,7.788366897370013
M1,4.5475308076,11.1207137823,9.397530807599983,7.57891550826278
M1,4.5475308076,11.1207137823,9.447530807599982,7.368226834752285
M1,4.5475308076,11.1207137823,9.497530807599983,7.156526364776575
M1,4.5475308076,11.1207137823,9.547530807599983,6.9439819692929685
M1,4.5475308076,11.1207137823,9.597530807599982,6.73071677556289
M1,4.5475308076,11.1207137823,9.647530807599981,6.516823863584962
M1,4.5475308076,11.1207137823,9.697530807599982,6.302374933502266
M1,4.5475308076,11.1207137823,9.747530807599983,6.087425866085624
M1,4.5475308076,11.1207137823,9.797530807599982,5.872020557681617
M1,4.5475308076,11.1207137823,9.84753080759998,5.656195424468116
M1,4.5475308076,11.1207137823,9.897530807599981,5.4399792401153615
M1,4.5475308076,11.1207137823,9.947530807599982,5.223395512961495
M1,4.5475308076,11.1207137823,9.997530807599981,5.006463607089513
M1,4.5475308076,11.1207137823,10.04753080759998,4.789199589371144
M1,4.5475308076,11.1207137823,10.09753080759998,4.571616877345885
M1,4.5475308076,11.1207137823,10.147530807599981,4.353726740394715
M1,4.5475308076,11.1207137823,10.19753080759998,4.135538691427088
M1,4.5475308076,11.1207137823,10.24753080759998,3.917060795985397
M1,4.5475308076,11.1207137823,10.29753080759998,3.6982999183007
M1,4.5475308076,11.1207137823,10.34753080759998,3.4792619188255864
M1,4.5475308076,11.1207137823,10.39753080759998,3.2599518140006145
M1,4.5475308076,11.1207137823,10.447530807599978,3.040373906422083
M1,4.5475308076,11.1207137823,10.49753080759998,2.8205318800501704
M1,4.5475308076,11.1207137823,10.54753080759998,2.6004288848093156
M1,4.5475308076,11.1207137823,10.597530807599979,2.3800677175014666
M1,4.5475308076,11.1207137823,10.647530807599978,2.1594507213361904
M1,4.5475308076,11.1207137823,10.697530807599978,1.9385799062805553
M1,4.5475308076,11.1207137823,10.74753080759998,1.717456992237981
M1,4.5475308076,11.1207137823,10.797530807599978,-5.942759692808538
M1,4.5475308076,11.1207137823,10.847530807599977,-inf
M1,4.5475308076,11.1207137823,10.897530807599978,-inf
M1,4.5475308076,11.1207137823,10.947530807599978,-inf
M1,4.5475308076,11.1207137823,10.997530807599977,-inf
M1,4.5475308076,11.1207137823,11.047530807599976,-inf
M1,4.5475308076,11.1207137823,11.097530807599977,-inf
M1,4.5475308076,11.1207137823,11.1207137823,-inf
M1,16.3755538192,20.682151169,16.3755538192,-1.4026717586065036
M1,16.3755538192,20.682151169,16.4255538192,-1.202807777261679
M1,16.3755538192,20.682151169,16.4755538192,-1.002771255213851
M1,16.3755538192,20.682151169,16.525553819200002,-0.8025618727157884
M1,16.3755538192,20.682151169,16.575553819200003,-0.6021793353995228
M1,16.3755538192,20.682151169,16.625553819200004,-0.4016253697470997
M1,16.3755538192,20.682151169,16.675553819200005,-0.2008994975602043
M1,16.3755538192,20.682151169,16.725553819200005,1.4714896856560244e-07
M1,16.3755538192,20.682151169,16.775553819200006,0.20107372136163448
M1,16.3755538192,20.682151169,16.825553819200007,0.4023213435315416
M1,16.3755538192,20.682151169,16.875553819200007,0.6037430805641186
M1,16.3755538192,20.682151169,16.925553819200008,0.8053389486703573
M1,16.3755538192,20.682151169,16.97555381920001,1.007108901271872
M1,16.3755538192,20.682151169,17.02555381920001,1.20905282878428
M1,16.3755538192,20.682151169,17.07555381920001,1.4111705410014732
M1,16.3755538192,20.682151169,17.12555381920001,1.61346176623349
M1,16.3755538192,20.682151169,17.17555381920001,1.8159261334488832
M1,16.3755538192,20.682151169,17.225553819200012,2.0185631645058155
