iteration,uav,lp_duration,dual_constraints,existing_score,best_score,added_columns
1,FY1,34.40000000000005,857,0.0005844768185149109,0.011552138941682166,4
1,FY2,34.40000000000005,857,0.026445767329184276,0.038247774167783986,4
1,FY3,34.40000000000005,857,0.06526215931294872,0.12138240073584644,4
1,FY4,34.40000000000005,857,0.025398115559291272,0.0429177504781316,4
1,FY5,34.40000000000005,857,0.003314590921958606,0.018096551603889337,4
2,FY1,34.40000000000006,905,0.010812589455609386,0.03181183138619535,4
2,FY2,34.40000000000006,905,0.025512019344803474,0.060508554185169316,4
2,FY3,34.40000000000006,905,0.06286699603137227,0.09683005472098369,4
2,FY4,34.40000000000006,905,0.05200267859024276,0.0765658924973177,4
2,FY5,34.40000000000006,905,0.020240634991968712,0.021490287193663773,4
3,FY1,37.00000000000004,925,0.023372938732338755,0.02811827799210967,4
3,FY2,37.00000000000004,925,0.0359982580782633,0.0420707145267118,4
3,FY3,37.00000000000004,925,0.05995711784179736,0.07879319314427358,4
3,FY4,37.00000000000004,925,0.05063650800645583,0.059076318379259335,4
3,FY5,37.00000000000004,925,0.02032396002057993,0.024311578011988147,4
