rank,positive_missiles,score,total_duration_s,minimum_duration_s,M1_duration_s,M2_duration_s,M3_duration_s
1,3,19.821768871187224,19.567308090278992,4.4892156181646286,9.588249324785728,5.489843147328633,4.4892156181646286
2,3,19.821757936907343,19.567297453065798,4.489209676830896,9.588244628906267,5.489843147328633,4.489209676830896
3,3,19.82167981621269,19.56722299357972,4.489136452659379,9.588242790920326,5.489843750000016,4.489136452659379
4,3,19.821679771095702,19.567223261747607,4.489130186961864,9.588249324785728,5.489843750000016,4.489130186961864
5,3,19.821439271456534,19.566978500435226,4.489215420426106,9.587907725649245,5.489855354359873,4.489215420426106
6,3,19.821428347063584,19.56696786322204,4.489209676830896,9.587902832031268,5.489855354359873,4.489209676830896
7,3,19.82135022636893,19.56689340373596,4.489136452659379,9.587900994045327,5.489855957031256,4.489136452659379
8,3,19.821350171365008,19.56689367190384,4.489129989223342,9.587907725649245,5.489855957031256,4.489129989223342
9,3,19.821161752556957,19.56670106806883,4.489213689762522,9.588249324785728,5.48923805352058,4.489213689762522
10,3,19.821161069609122,19.566700385120996,4.489213689762522,9.588248641837893,5.48923805352058,4.489213689762522
11,3,19.821080212093815,19.566623188814262,4.489140465591005,9.588249324785728,5.4892333984375306,4.489140465591005
12,3,19.821073678228412,19.56661665494886,4.489140465591005,9.588242790920326,5.4892333984375306,4.489140465591005
13,3,19.820832360451714,19.566371675963588,4.489213689762522,9.587907725649245,5.48925026055182,4.489213689762522
14,3,19.820831479765364,19.566370795277237,4.489213689762522,9.587906844962895,5.48925026055182,4.489213689762522
15,3,19.82075081998857,19.56629379670902,4.489140465591005,9.587907725649245,5.489245605468771,4.489140465591005
16,3,19.820744088384654,19.5662870651051,4.489140465591005,9.587900994045327,5.489245605468771,4.489140465591005
17,3,19.631530760803514,19.522627562561325,1.5780639648437784,13.455347979552919,1.5780639648437784,4.4892156181646286
18,3,19.63152012359032,19.52261692534813,1.5780639648437784,13.455343283673455,1.5780639648437784,4.489209676830896
19,3,19.6314471617517,19.522543963509513,1.5780639648437784,13.455349811703869,1.5780639648437784,4.489130186961864
20,3,19.631446893583814,19.522543695341625,1.5780639648437784,13.455343277838466,1.5780639648437784,4.489136452659379
21,3,19.631202771427706,19.522298962833954,1.5780761718750185,13.45500737053283,1.5780761718750185,4.489215420426106
22,3,19.63119213421452,19.522288325620767,1.5780761718750185,13.455002476914853,1.5780761718750185,4.489209676830896
23,3,19.6311181822595,19.522214373665747,1.5780761718750185,13.455008212567385,1.5780761718750185,4.489129989223342
24,3,19.631117914091618,19.522214105497866,1.5780761718750185,13.455001480963467,1.5780761718750185,4.489136452659379
25,3,19.476807323335642,19.23051609809147,4.3258245048833714,9.482963680254478,5.421727912953619,4.3258245048833714
26,3,19.47679638905576,19.230505460878277,4.325818563549639,9.482958984375017,5.421727912953619,4.325818563549639
27,3,19.476718268361104,19.230431001392198,4.325745339378122,9.482957146389076,5.421728515625002,4.325745339378122
28,3,19.476718223244117,19.230431269560086,4.325739073680607,9.482963680254478,5.421728515625002,4.325739073680607
29,3,19.476465516573715,19.230174301216472,4.325824307144849,9.482622081117995,5.421727912953626,4.325824307144849
30,3,19.47645459218077,19.230163664003285,4.325818563549639,9.482617187500018,5.421727912953626,4.325818563549639
31,3,19.476376471486113,19.230089204517206,4.325745339378122,9.482615349514077,5.421728515625009,4.325745339378122
32,3,19.476376416482193,19.230089472685087,4.3257388759420845,9.482622081117995,5.421728515625009,4.3257388759420845
33,3,19.476200204705375,19.22990907588131,4.325822576481265,9.482963680254478,5.421122819145566,4.325822576481265
34,3,19.47619952175754,19.229908392933474,4.325822576481265,9.482962997306643,5.421122819145566,4.325822576481265
35,3,19.47611866424223,19.22983119662674,4.325749352309748,9.482963680254478,5.421118164062516,4.325749352309748
36,3,19.476112130376826,19.229824662761338,4.325749352309748,9.482957146389076,5.421118164062516,4.325749352309748
37,3,19.4758586055689,19.229567476744833,4.325822576481265,9.482622081117995,5.421122819145573,4.325822576481265
38,3,19.475857724882548,19.229566596058483,4.325822576481265,9.482621200431645,5.421122819145573,4.325822576481265
39,3,19.475777065105753,19.229489597490264,4.325749352309748,9.482622081117995,5.4211181640625234,4.325749352309748
40,3,19.475770333501835,19.229482865886347,4.325749352309748,9.482615349514077,5.4211181640625234,4.325749352309748
41,3,19.291333006897244,19.185835570373804,1.5099487304687642,13.350062335021669,1.5099487304687642,4.3258245048833714
42,3,19.29132236968405,19.18582493316061,1.5099487304687642,13.350057639142205,1.5099487304687642,4.325818563549639
43,3,19.29124940784543,19.18575197132199,1.5099487304687642,13.350064167172619,1.5099487304687642,4.325739073680607
44,3,19.291249139677543,19.185751703154104,1.5099487304687642,13.350057633307216,1.5099487304687642,4.325745339378122
45,3,19.29099220013864,19.1854947636152,1.5099487304687713,13.34972172600158,1.5099487304687713,4.325824307144849
46,3,19.290981562925452,19.185484126402013,1.5099487304687713,13.349716832383603,1.5099487304687713,4.325818563549639
47,3,19.290907610970432,19.185410174446993,1.5099487304687713,13.349722568036135,1.5099487304687713,4.3257388759420845
48,3,19.29090734280255,19.185409906279112,1.5099487304687713,13.349715836432217,1.5099487304687713,4.325745339378122
