candidate,source,sweep,uav,accepted,candidate_total_s,current_total_s,M1_s,M2_s,M3_s
1,master_balanced,1,FY1,True,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY2,False,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY3,False,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY4,False,34.023589570298746,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY5,False,34.02358957029881,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
2,master_center_rank7,1,FY1,True,33.07064582821069,33.07064582821069,13.180227205946558,12.237047731477123,7.653370890787006
2,master_center_rank7,1,FY2,False,33.070638322009835,33.07064582821069,13.180227205946558,12.237047731477123,7.653370890787006
2,master_center_rank7,1,FY3,False,29.40139889975858,33.07064582821069,13.180227205946558,12.237047731477123,7.653370890787006
2,master_center_rank7,1,FY4,False,33.0706458282107,33.07064582821069,13.180227205946558,12.237047731477123,7.653370890787006
2,master_center_rank7,1,FY5,False,33.0706458282107,33.07064582821069,13.180227205946558,12.237047731477123,7.653370890787006
