start,sweep,uav,accepted,candidate_total_s,current_total_s,M1_s,M2_s,M3_s
1,1,FY1,False,32.199063959312916,32.19906395931291,15.47080464543247,12.214114416419537,4.514144897460902
1,1,FY2,False,32.19906395931291,32.19906395931291,15.47080464543247,12.214114416419537,4.514144897460902
1,1,FY3,False,32.19906395931291,32.19906395931291,15.47080464543247,12.214114416419537,4.514144897460902
1,1,FY4,False,32.199063959312916,32.19906395931291,15.47080464543247,12.214114416419537,4.514144897460902
1,1,FY5,False,32.19906395931291,32.19906395931291,15.47080464543247,12.214114416419537,4.514144897460902
2,1,FY1,True,32.234708101464754,32.234708101464754,15.50645308212722,12.214110121876633,4.514144897460902
2,1,FY2,False,32.234708101464754,32.234708101464754,15.50645308212722,12.214110121876633,4.514144897460902
2,1,FY3,False,32.234708101464754,32.234708101464754,15.50645308212722,12.214110121876633,4.514144897460902
2,1,FY4,False,32.23470810146476,32.234708101464754,15.50645308212722,12.214110121876633,4.514144897460902
2,1,FY5,False,32.234708101464754,32.234708101464754,15.50645308212722,12.214110121876633,4.514144897460902
3,1,FY1,True,32.26687559710007,32.26687559710007,15.538618067737847,12.214112631901322,4.514144897460902
3,1,FY2,False,32.26687559710007,32.26687559710007,15.538618067737847,12.214112631901322,4.514144897460902
3,1,FY3,False,32.26687559710007,32.26687559710007,15.538618067737847,12.214112631901322,4.514144897460902
3,1,FY4,False,32.26687559710008,32.26687559710007,15.538618067737847,12.214112631901322,4.514144897460902
3,1,FY5,False,32.26687559710007,32.26687559710007,15.538618067737847,12.214112631901322,4.514144897460902
