profile,uav,bomb,heading_rad,heading_deg,speed_mps,release_time_s,fuse_delay_s,burst_time_s,release_x_m,release_y_m,release_z_m,burst_x_m,burst_y_m,burst_z_m,planned_missile,individual_duration_s,M1_individual_s,M2_individual_s,M3_individual_s,joint_M1_s,joint_M2_s,joint_M3_s,joint_total_s,minimum_missile_s,verification_grid
standard,FY1,1,0.12050192781152047,6.90425188679024,139.70967311666135,0.00023683526682511137,0.7139927340608919,0.7142295693277171,17800.03284823627,0.003977546732594846,1800.0,17899.061182738722,11.995179298613099,1797.5020504409704,M1,4.5855316162109405,4.5855316162109405,0.0,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY1,2,0.12050192781152047,6.90425188679024,139.70967311666135,6.078679899911193,11.843943125150716,17.92262302506191,18643.091978034583,102.08882189929894,1800.0,20285.8061201723,301.0027670646962,1112.6329551161557,M1,0.0,0.0,0.0,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY1,3,0.12050192781152047,6.90425188679024,139.70967311666135,11.909952274933927,12.361167773911697,24.271120048845624,19451.8693839954,200.02254052605124,1800.0,21166.320804521227,407.6230518404669,1051.287503199514,M1,0.0,0.0,0.0,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY2,1,4.757365868217601,272.5769858484591,136.8276947831572,1.2005599033436,4.14342580106579,5.34398570440939,12007.385855594783,1235.8962803813722,1400.0,12032.876249326187,669.5342154606628,1315.8769108922054,M1,0.0,0.0,0.0,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY2,2,4.757365868217601,272.5769858484591,136.8276947831572,3.6123808661858865,3.4923102069751657,7.104691073161052,12022.22340039568,906.2261073610055,1400.0,12043.708124988818,428.86459176264293,1340.2384701494598,M2,3.865781860351479,0.0,3.865781860351479,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY2,3,4.757365868217601,272.5769858484591,136.8276947831572,5.228495665461201,2.158601203785934,7.387096869247135,12032.165753541736,685.3204706217049,1400.0,12045.44548805018,390.262734870274,1377.1681601307682,M2,3.338105468749923,0.0,3.338105468749923,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY3,1,2.6511016758975012,151.89693708898628,134.14270075492618,37.819702919563255,11.531153432285926,49.35085635184918,1524.889010957656,-610.2058203481301,700.0,160.4364252007499,118.43774979728641,48.459252553294505,M3,0.2101147460937085,0.0,0.0,0.2101147460937085,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY3,2,2.6511016758975012,151.89693708898628,134.14270075492618,38.82304608112141,11.811655603857172,50.63470168497858,1406.1659205722272,-546.8054374105668,700.0,8.522213427653696,199.56282132974366,16.375480289760276,M1,1.4296801757809519,1.4296801757809519,1.380776977538801,0.917814331054501,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY3,3,2.6511016758975012,151.89693708898628,134.14270075492618,39.90939443595216,0.921876016728739,40.8312704526809,1277.6210329782953,-478.1600284032429,700.0,1168.5377463704745,-419.90748359016925,695.8357085879237,M1,0.0,0.0,0.0,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
standard,FY4,1,4.188247798585204,239.96892241389025,139.9910711844194,1.6263749443785913,11.773097203344305,13.399472147722896,10886.054082553717,1802.886869542145,1800.0,10061.21577164879,376.01291716304763,1120.8314929789717,M2,3.6080895996093005,0.0,3.6080895996093005,0.0,9.621809106374702,12.192752668085035,8.223361209239119,30.037922983698856,8.223361209239119,360x13x11@0.01
