missile,mode,start_s,end_s,duration_s,individual_complete_coverers
M1,single_cloud_relay,4.897530807640019,6.615280170122346,1.7177493624823272,FY1-B1
M1,single_cloud_relay,6.615280170122346,7.0100132297803475,0.39473305965800165,FY1-B1
M1,single_cloud_relay,7.0100132297803475,7.2810375069831,0.2710242772027529,FY1-B1
M1,single_cloud_relay,7.2810375069831,7.360420350186586,0.07938284320348554,FY1-B1
M1,single_cloud_relay,7.360420350186586,7.415420350186585,0.05499999999999883,FY1-B1;FY1-B3
M1,single_cloud_relay,7.415420350186585,10.63603406430481,3.220613714118226,FY1-B3
M1,single_cloud_relay,10.63603406430481,10.77071378232241,0.13467971801759937,FY1-B3
M1,single_cloud_relay,16.725553819221258,18.870605295152902,2.145051475931645,FY4-B2
M1,single_cloud_relay,18.870605295152902,19.520423039793542,0.6498177446406395,FY4-B2
M1,single_cloud_relay,19.520423039793542,20.022430557395875,0.5020075176023333,FY4-B2
M1,single_cloud_relay,20.022430557395875,20.33215116896808,0.3097206115722031,FY4-B2
M1,single_cloud_relay,23.629298080588516,26.615280170122347,2.985982089533831,FY5-B2
M1,single_cloud_relay,26.615280170122347,27.01001322978035,0.39473305965800165,FY5-B2
M1,single_cloud_relay,27.01001322978035,27.183654739790075,0.17364151000972683,FY5-B2
M1,single_cloud_relay,54.559868838792454,55.935894839769716,1.3760260009772622,FY3-B2
M2,single_cloud_relay,7.026965897016675,7.2810375069831,0.2540716099664255,FY2-B2
M2,single_cloud_relay,7.2810375069831,7.360420350186586,0.07938284320348554,FY2-B2
M2,single_cloud_relay,7.360420350186586,10.63603406430481,3.275613714118225,FY2-B2
M2,single_cloud_relay,10.63603406430481,10.914483923923996,0.2784498596191849,FY2-B2
M2,single_cloud_relay,14.197061411639034,15.615959297829944,1.4188978861909103,FY4-B1
M2,single_cloud_relay,15.615959297829944,15.978269731086373,0.36231043325642887,FY4-B1
M2,single_cloud_relay,15.978269731086373,17.803269731086658,1.8250000000002853,FY4-B1
M2,spatial_joint,17.803269731086658,18.118269731086706,0.31500000000004746,
M2,single_cloud_relay,18.118269731086706,18.870605295152902,0.7523355640661968,FY2-B3
M2,single_cloud_relay,18.870605295152902,19.520423039793542,0.6498177446406395,FY2-B3
M2,single_cloud_relay,19.520423039793542,20.022430557395875,0.5020075176023333,FY2-B3
M2,single_cloud_relay,20.022430557395875,21.673803390647503,1.651372833251628,FY2-B3
M2,single_cloud_relay,54.51106207609712,55.930040957933784,1.418978881836665,FY3-B2
M2,single_cloud_relay,62.43160742522225,62.58969458342547,0.15808715820321595,FY3-B1
M3,single_cloud_relay,15.756884743386607,15.978269731086373,0.221384987699766,FY5-B1
M3,single_cloud_relay,15.978269731086373,18.870605295152902,2.8923355640665296,FY5-B1
M3,single_cloud_relay,18.870605295152902,19.23060529515283,0.3599999999999284,FY5-B1
M3,single_cloud_relay,19.23060529515283,19.3856052951528,0.15499999999996916,FY4-B3;FY5-B1
M3,single_cloud_relay,19.3856052951528,19.520423039793542,0.13481774464074192,FY4-B3
M3,single_cloud_relay,19.520423039793542,20.022430557395875,0.5020075176023333,FY4-B3
M3,single_cloud_relay,20.022430557395875,22.588475631858255,2.56604507446238,FY4-B3
M3,single_cloud_relay,54.856687991624625,55.58380072355861,0.7271127319339854,FY3-B2
