candidate,source,sweep,uav,accepted,candidate_total_s,current_total_s,M1_s,M2_s,M3_s
1,master_balanced,1,FY1,True,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY2,False,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY3,False,34.02358957029875,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY4,False,34.023589570298746,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
1,master_balanced,1,FY5,False,34.02358957029881,34.02358957029875,13.819890501681186,12.214126318289974,7.989572750327589
2,master_center_rank3,1,FY1,True,34.65967063710391,34.65967063710391,14.896482917274945,12.237056710487025,7.526131009341938
2,master_center_rank3,1,FY2,False,34.65967063710391,34.65967063710391,14.896482917274945,12.237056710487025,7.526131009341938
2,master_center_rank3,1,FY3,False,30.990428237919375,34.65967063710391,14.896482917274945,12.237056710487025,7.526131009341938
2,master_center_rank3,1,FY4,False,34.6596706371039,34.65967063710391,14.896482917274945,12.237056710487025,7.526131009341938
2,master_center_rank3,1,FY5,False,34.65967063710391,34.65967063710391,14.896482917274945,12.237056710487025,7.526131009341938
3,master_center_rank7,1,FY1,True,33.070362512303134,33.070362512303134,13.179929837879868,12.237050562167628,7.653382112255638
3,master_center_rank7,1,FY2,False,33.07035500610228,33.070362512303134,13.179929837879868,12.237050562167628,7.653382112255638
3,master_center_rank7,1,FY3,False,31.11025509042817,33.070362512303134,13.179929837879868,12.237050562167628,7.653382112255638
3,master_center_rank7,1,FY4,False,33.070362512303134,33.070362512303134,13.179929837879868,12.237050562167628,7.653382112255638
3,master_center_rank7,1,FY5,False,33.07036251230315,33.070362512303134,13.179929837879868,12.237050562167628,7.653382112255638
4,master_lower,1,FY1,True,34.02542401670994,34.02542401670994,14.430877912820566,12.011176650964092,7.583369452925282
4,master_lower,1,FY2,True,34.96154724760636,34.96154724760636,14.430873965522721,12.947303829158354,7.583369452925282
4,master_lower,1,FY3,False,34.96154724760636,34.96154724760636,14.430873965522721,12.947303829158354,7.583369452925282
4,master_lower,1,FY4,False,34.961547247606376,34.96154724760636,14.430873965522721,12.947303829158354,7.583369452925282
4,master_lower,1,FY5,False,34.96154724760635,34.96154724760636,14.430873965522721,12.947303829158354,7.583369452925282
