record_type,profile,source,source_seed,source_rank,region_index,theta_rad,theta_deg,uav_speed_mps,release_time_s,fuse_delay_s,burst_time_s,feasible,reason,valid_start_s,valid_end_s,intervals_s,duration_s,elapsed_seconds,iterations,function_evaluations,success,message,release_point_x_m,release_point_y_m,release_point_z_m,burst_point_x_m,burst_point_y_m,burst_point_z_m,candidate_rank,local_round,start_duration_s,improvement_s
local_de_round,standard,local_de_round,20251101,1,1,0.089078183199,5.1038039440,139.9729312089,0.9268493826,0.0060780859,0.9329274684,True,,0.9329274684,20.9329274684,"[0.9330022202, 5.5210631230]",4.5880609028,12.833116,20,420,True,local refinement,17929.2194511894,11.5411762201,1800.0000000000,17930.0668455309,11.6168608584,1799.9998189787,1,1,4.5880609028,0.0000000000
local_de_round,standard,local_de_round,20251102,2,1,0.089078183199,5.1038039440,139.9729312089,0.9268493826,0.0060780859,0.9329274684,True,,0.9329274684,20.9329274684,"[0.9330022202, 5.5210631230]",4.5880609028,9.652464,15,320,True,local refinement,17929.2194511894,11.5411762201,1800.0000000000,17930.0668455309,11.6168608584,1799.9998189787,1,2,4.5880609028,0.0000000000
local_de_round,standard,local_de_round,20251103,3,1,0.089078183199,5.1038039440,139.9729312089,0.9268493826,0.0060780859,0.9329274684,True,,0.9329274684,20.9329274684,"[0.9330022202, 5.5210631230]",4.5880609028,6.684303,10,220,True,local refinement,17929.2194511894,11.5411762201,1800.0000000000,17930.0668455309,11.6168608584,1799.9998189787,1,3,4.5880609028,0.0000000000
local_de_round,standard,local_de_round,20251201,1,2,0.089073177601,5.1035171444,139.9321232246,0.9225550436,0.0106409939,0.9331960374,True,,0.9331960374,20.9331960374,"[0.9332036994, 5.5212623338]",4.5880586344,12.636846,20,420,True,local refinement,17928.5833023423,11.4837101062,1800.0000000000,17930.0664161602,11.6161662559,1799.9994451693,2,1,4.5880586344,0.0000000000
local_de_round,standard,local_de_round,20251202,2,2,0.089073177601,5.1035171444,139.9321232246,0.9225550436,0.0106409939,0.9331960374,True,,0.9331960374,20.9331960374,"[0.9332036994, 5.5212623338]",4.5880586344,9.562673,15,320,True,local refinement,17928.5833023423,11.4837101062,1800.0000000000,17930.0664161602,11.6161662559,1799.9994451693,2,2,4.5880586344,0.0000000000
local_de_round,standard,local_de_round,20251203,3,2,0.089073177601,5.1035171444,139.9321232246,0.9225550436,0.0106409939,0.9331960374,True,,0.9331960374,20.9331960374,"[0.9332036994, 5.5212623338]",4.5880586344,6.587967,10,220,True,local refinement,17928.5833023423,11.4837101062,1800.0000000000,17930.0664161602,11.6161662559,1799.9994451693,2,3,4.5880586344,0.0000000000
local_de_round,standard,local_de_round,20251301,1,3,0.089146812677,5.1077361234,139.9627350721,0.8985614029,0.0339432003,0.9325046032,True,,0.9325046032,20.9325046032,"[0.9326712615, 5.5207298632]",4.5880586017,12.749937,20,420,True,local refinement,17925.2657050819,11.1967147451,1800.0000000000,17929.9976231326,11.6196711846,1799.9943545098,3,1,4.5880586017,0.0000000000
local_de_round,standard,local_de_round,20251302,2,3,0.089146812677,5.1077361234,139.9627350721,0.8985614029,0.0339432003,0.9325046032,True,,0.9325046032,20.9325046032,"[0.9326712615, 5.5207298632]",4.5880586017,9.571824,15,320,True,local refinement,17925.2657050819,11.1967147451,1800.0000000000,17929.9976231326,11.6196711846,1799.9943545098,3,2,4.5880586017,0.0000000000
local_de_round,standard,local_de_round,20251303,3,3,0.089146812677,5.1077361234,139.9627350721,0.8985614029,0.0339432003,0.9325046032,True,,0.9325046032,20.9325046032,"[0.9326712615, 5.5207298632]",4.5880586017,6.944796,10,220,True,local refinement,17925.2657050819,11.1967147451,1800.0000000000,17929.9976231326,11.6196711846,1799.9943545098,3,3,4.5880586017,0.0000000000
local_de_round,standard,local_de_round,20251401,1,4,0.089059170470,5.1027145949,139.9942186915,0.9314926795,0.0013281345,0.9328208140,True,,0.9328208140,20.9328208140,"[0.9332361510, 5.5212946173]",4.5880584662,13.049936,20,420,True,local refinement,17929.8867812370,11.5982893009,1800.0000000000,17930.0719755114,11.6148262937,1799.9999913567,4,1,4.5880584662,0.0000000000
local_de_round,standard,local_de_round,20251402,2,4,0.089059170470,5.1027145949,139.9942186915,0.9314926795,0.0013281345,0.9328208140,True,,0.9328208140,20.9328208140,"[0.9332361510, 5.5212946173]",4.5880584662,9.736745,15,320,True,local refinement,17929.8867812370,11.5982893009,1800.0000000000,17930.0719755114,11.6148262937,1799.9999913567,4,2,4.5880584662,0.0000000000
local_de_round,standard,local_de_round,20251403,3,4,0.089059170470,5.1027145949,139.9942186915,0.9314926795,0.0013281345,0.9328208140,True,,0.9328208140,20.9328208140,"[0.9332361510, 5.5212946173]",4.5880584662,6.611499,10,220,True,local refinement,17929.8867812370,11.5982893009,1800.0000000000,17930.0719755114,11.6148262937,1799.9999913567,4,3,4.5880584662,0.0000000000
local_de_round,standard,local_de_round,20251501,1,5,0.089060564334,5.1027944574,139.9608319915,0.9218388600,0.0111750546,0.9330139146,True,,0.9330139146,20.9330139146,"[0.9333409945, 5.5213979736]",4.5880569791,12.885261,20,420,True,local refinement,17928.5099872439,11.4755285138,1800.0000000000,17930.0678583545,11.6146413932,1799.9993880790,5,1,4.5880569791,0.0000000000
local_de_round,standard,local_de_round,20251502,2,5,0.089060564334,5.1027944574,139.9608319915,0.9218388600,0.0111750546,0.9330139146,True,,0.9330139146,20.9330139146,"[0.9333409945, 5.5213979736]",4.5880569791,9.859264,15,320,True,local refinement,17928.5099872439,11.4755285138,1800.0000000000,17930.0678583545,11.6146413932,1799.9993880790,5,2,4.5880569791,0.0000000000
local_de_round,standard,local_de_round,20251503,3,5,0.089060564334,5.1027944574,139.9608319915,0.9218388600,0.0111750546,0.9330139146,True,,0.9330139146,20.9330139146,"[0.9333409945, 5.5213979736]",4.5880569791,6.780498,10,220,True,local refinement,17928.5099872439,11.4755285138,1800.0000000000,17930.0678583545,11.6146413932,1799.9993880790,5,3,4.5880569791,0.0000000000
