record_type,profile,source,source_seed,source_rank,region_index,theta_rad,theta_deg,uav_speed_mps,release_time_s,fuse_delay_s,burst_time_s,feasible,reason,valid_start_s,valid_end_s,intervals_s,duration_s,elapsed_seconds,iterations,function_evaluations,success,message,release_point_x_m,release_point_y_m,release_point_z_m,burst_point_x_m,burst_point_y_m,burst_point_z_m,selected_region
coarse_lhs,standard,coarse_lhs,20250818,1,,3.658845232698,209.6363897251,76.1785939151,1.6718236714,10.8514218995,12.5232455709,True,,12.5232455709,32.5232455709,,0.0000000000,,,,,,17689.3035566262,-62.9773597943,1800.0000000000,16970.7984712233,-471.7488785381,1223.0085495223,
coarse_lhs,standard,coarse_lhs,20250818,2,,0.450838868148,25.8311643853,135.1456682838,2.5197359467,8.3314539754,10.8511899221,True,,10.8511899221,30.8511899221,,0.0000000000,,,,,,18106.5061504263,148.3765920168,1800.0000000000,19119.9622979980,638.9806765548,1459.8756858144,
coarse_lhs,standard,coarse_lhs,20250818,3,,0.012682128612,0.7266324447,92.9820848480,0.1918826936,4.6413056672,4.8331883607,True,,4.8331883607,24.8331883607,,0.0000000000,,,,,,17817.8402181191,0.2262640713,1800.0000000000,18249.3637907981,5.6991949379,1694.4455803489,
coarse_lhs,standard,coarse_lhs,20250818,4,,5.019616708238,287.6028521554,81.1736696016,0.8010076890,5.6141698952,6.4151775842,True,,6.4151775842,26.4151775842,,0.0000000000,,,,,,17819.6633972512,-61.9761776236,1800.0000000000,17957.4818656636,-496.3600111508,1645.5573723006,
coarse_lhs,standard,coarse_lhs,20250818,5,,5.756937686453,329.8482323536,130.7574956664,6.6964712852,2.7242763730,9.4207476582,True,,9.4207476582,29.4207476582,,0.0000000000,,,,,,18557.1414661311,-439.8139986159,1800.0000000000,18865.1637840612,-618.7403068051,1763.6337593925,
coarse_lhs,standard,coarse_lhs,20250818,6,,5.239536780680,300.2033441365,86.8786021538,1.6776883018,6.0009574141,7.6786457159,True,,7.6786457159,27.6786457159,,0.0000000000,,,,,,17873.3251326377,-125.9682796600,1800.0000000000,18135.6032911452,-576.5467816158,1623.5436995570,
coarse_lhs,standard,coarse_lhs,20250818,7,,0.594704903006,34.0740809980,70.8120064865,2.2663525749,3.4073482173,5.6737007922,True,,5.6737007922,25.6737007922,,0.0000000000,,,,,,17932.9319288094,89.9140085649,1800.0000000000,18132.7884629063,225.0952421442,1743.1108928171,
coarse_lhs,standard,coarse_lhs,20250818,8,,5.701990303749,326.6999792294,81.2450501849,3.9804393475,7.0873219757,11.0677613233,True,,11.0677613233,31.0677613233,,0.0000000000,,,,,,18070.2925094802,-177.5491331281,1800.0000000000,18551.5584891986,-493.6820428688,1553.8723493420,
coarse_lhs,standard,coarse_lhs,20250818,9,,3.114551181574,178.4506377817,108.7952091875,1.6441113798,1.9453726453,3.5894840250,True,,3.5894840250,23.5894840250,,0.0000000000,,,,,,17621.1939536096,4.8363576053,1800.0000000000,17409.6241075905,10.5589125998,1781.4560738281,
coarse_lhs,standard,coarse_lhs,20250818,10,,6.137494338647,351.6525223899,82.6111804081,0.7369038782,1.8284467990,2.5653506772,True,,2.5653506772,22.5653506772,,0.0000000000,,,,,,17860.2315632378,-8.8378135063,1800.0000000000,18009.6814606617,-30.7666868572,1783.6182332849,
coarse_lhs,standard,coarse_lhs,20250818,11,,4.497342936485,257.6787692836,122.6548617399,2.1145505391,0.1028352345,2.2173857735,True,,2.2173857735,22.2173857735,,0.0000000000,,,,,,17744.6545645386,-253.3859557718,1800.0000000000,17741.9629945204,-265.7086710222,1799.9481820813,
coarse_lhs,standard,coarse_lhs,20250818,12,,0.020441853811,1.1712319488,96.0785423720,1.3084983873,1.6815018838,2.9900002711,True,,2.9900002711,22.9900002711,,0.0000000000,,,,,,17925.6923516823,2.5697426271,1800.0000000000,18087.2148481444,5.8720218736,1786.1455019323,
coarse_lhs,standard,coarse_lhs,20250818,13,,1.666115780253,95.4614023887,126.4998500310,2.3625987715,1.8221266528,4.1847254242,True,,4.1847254242,24.1847254242,,0.0000000000,,,,,,17771.5551481165,297.5116890241,1800.0000000000,17749.6173889943,526.9640973751,1783.7312868603,
coarse_lhs,standard,coarse_lhs,20250818,14,,4.002312712522,229.3156267191,91.8500197848,4.2563259077,6.7901124766,11.0464383843,True,,11.0464383843,31.0464383843,,0.0000000000,,,,,,17545.1471357726,-296.4572999649,1800.0000000000,17138.5806155833,-769.3953350028,1574.0824255185,
coarse_lhs,standard,coarse_lhs,20250818,15,,2.167051733091,124.1629182927,121.8480185705,0.3762550150,4.9195807599,5.2958357749,True,,5.2958357749,25.2958357749,,0.0000000000,,,,,,17774.2553119206,37.9349463568,1800.0000000000,17437.6403377949,533.9390520178,1681.4088532210,
coarse_lhs,standard,coarse_lhs,20250818,16,,3.528183340225,202.1500147432,124.2211493910,1.3838304567,6.8620196467,8.2458501033,True,,8.2458501033,28.2458501033,,0.0000000000,,,,,,17640.7853081058,-64.8123374526,1800.0000000000,16851.2851648254,-386.1981913358,1569.2721632074,
coarse_lhs,standard,coarse_lhs,20250818,17,,1.291428946928,73.9934282000,135.6301237816,3.3051655534,9.1656217468,12.4707873002,True,,12.4707873002,32.4707873002,,0.0000000000,,,,,,17923.6121423570,430.9002302466,1800.0000000000,18266.4034857454,1625.8384133092,1388.3577521708,
coarse_lhs,standard,coarse_lhs,20250818,18,,1.516184965899,86.8709995072,75.9526297267,3.1584056578,7.6727520489,10.8311577067,True,,10.8311577067,30.8311577067,,0.0000000000,,,,,,17813.0941655800,239.5315814668,1800.0000000000,17844.9039761827,821.4284723592,1511.5314923824,
coarse_lhs,standard,coarse_lhs,20250818,19,,5.804946904929,332.5989579499,99.4667373168,6.5355269754,4.5545823205,11.0901092959,True,,11.0901092959,31.0901092959,,0.0000000000,,,,,,18377.1345267361,-299.1714407673,1800.0000000000,18779.3372445733,-507.6628080337,1698.3533214408,
coarse_lhs,standard,coarse_lhs,20250818,20,,4.289204422321,245.7533108679,135.5880508457,7.5030973216,3.6152280184,11.1183253400,True,,11.1183253400,31.1183253400,,0.0000000000,,,,,,17382.2168499999,-927.5873342075,1800.0000000000,17180.9158026095,-1374.5280543441,1735.9576192362,
coarse_lhs,standard,coarse_lhs,20250818,21,,1.198556470763,68.6722272828,85.9360908982,5.1513980822,4.1572119672,9.3086100495,True,,9.3086100495,29.3086100495,,0.0000000000,,,,,,17961.0079622202,412.3733379393,1800.0000000000,18090.9424414971,745.1613205578,1715.3161844313,
coarse_lhs,standard,coarse_lhs,20250818,22,,5.567808159139,319.0119086572,84.8039438311,0.7445663342,0.0011297309,0.7456960651,True,,0.7456960651,20.7456960651,,0.0000000000,,,,,,17847.6626032205,-41.4150796639,1800.0000000000,17847.7349217128,-41.4779187855,1799.9999937462,
coarse_lhs,standard,coarse_lhs,20250818,23,,3.008478870516,172.3731420349,125.6778257821,0.2505861219,6.2289243366,6.4795104585,True,,6.4795104585,26.4795104585,,0.0000000000,,,,,,17768.7854869560,4.1797988046,1800.0000000000,16992.8732437927,108.0788108414,1609.8824578829,
coarse_lhs,standard,coarse_lhs,20250818,24,,0.714168384418,40.9188342888,85.4738100575,3.8339491247,2.0137207857,5.8476699104,True,,5.8476699104,25.8476699104,,0.0000000000,,,,,,18047.6243307635,214.6414415383,1800.0000000000,18177.6850711865,327.3784441013,1780.1301501267,
coarse_lhs,standard,coarse_lhs,20250818,25,,0.342279069442,19.6111460947,75.4414412810,3.7953557255,8.8139334097,12.6092891351,True,,12.6092891351,32.6092891351,,0.0000000000,,,,,,18069.7178941655,96.1013488762,1800.0000000000,18696.0822538033,319.2769747847,1419.3414314647,
coarse_lhs,standard,coarse_lhs,20250818,26,,4.245263253789,243.2356673641,133.0833426769,0.2213713469,11.0965854774,11.3179568243,True,,11.3179568243,31.3179568243,,0.0000000000,,,,,,17786.7331418253,-26.3045908124,1800.0000000000,17121.7110970347,-1344.8634039895,1196.6423746353,
coarse_lhs,standard,coarse_lhs,20250818,27,,1.451917632932,83.1887525676,99.2923769472,3.7673709180,9.4711888158,13.2385597338,True,,13.2385597338,33.2385597338,,0.0000000000,,,,,,17844.3644306204,371.4311105848,1800.0000000000,17955.8968250285,1305.2107295708,1360.4532538345,
coarse_lhs,standard,coarse_lhs,20250818,28,,2.974838856860,170.4457112296,83.3898176635,7.9658527989,1.5993717937,9.5652245925,True,,9.5652245925,29.5652245925,,0.0000000000,,,,,,17144.9432413863,110.2570675776,1800.0000000000,17013.4219429837,132.3943136943,1787.4658483413,
coarse_lhs,standard,coarse_lhs,20250818,29,,4.347042267476,249.0671752914,90.5997867541,1.9591886358,7.9174218507,9.8766104865,True,,9.8766104865,29.8766104865,,0.0000000000,,,,,,17736.5832761355,-165.7869262500,1800.0000000000,17480.3052710151,-835.7607146341,1492.8407130637,
coarse_lhs,standard,coarse_lhs,20250818,30,,0.622003838341,35.6381947779,125.1015084080,3.4249433928,3.5248428815,6.9497862743,True,,6.9497862743,26.9497862743,,0.0000000000,,,,,,18148.2193462782,249.6518457952,1800.0000000000,18506.5956296694,506.5855905572,1739.1198650366,
coarse_lhs,standard,coarse_lhs,20250818,31,,2.878234964364,164.9107159050,101.3070335518,4.5116441108,0.8924873035,5.4041314143,True,,5.4041314143,25.4041314143,,0.0000000000,,,,,,17358.6975812246,118.9839907574,1800.0000000000,17271.3997367875,142.5212420249,1796.0969854245,
coarse_lhs,standard,coarse_lhs,20250818,32,,4.744721387019,271.8525104417,87.3080340695,8.8936260381,4.6246845243,13.5183105623,True,,13.5183105623,33.5183105623,,0.0000000000,,,,,,17825.1012549875,-776.0791777879,1800.0000000000,17838.1539047148,-1179.6402616182,1695.2002359507,
coarse_lhs,standard,coarse_lhs,20250818,33,,0.322916054028,18.5017270328,112.7047867974,6.1665090179,4.3336710903,10.5001801082,True,,10.5001801082,30.5001801082,,0.0000000000,,,,,,18459.0736310896,220.5450425458,1800.0000000000,18922.2543923821,375.5386819315,1707.9745449175,
coarse_lhs,standard,coarse_lhs,20250818,34,,3.161666277953,181.1501339555,103.4779002923,6.4476148003,7.2742709162,13.7218857165,True,,13.7218857165,33.7218857165,,0.0000000000,,,,,,17132.9487754139,-13.3919345235,1800.0000000000,16380.3741454307,-28.5008643887,1540.7164149240,
coarse_lhs,standard,coarse_lhs,20250818,35,,2.720370584686,155.8657532141,91.1624475435,4.9420962321,6.7168002784,11.6588965105,True,,11.6588965105,31.6588965105,,0.0000000000,,,,,,17388.8475762297,184.2123741933,1800.0000000000,16830.0505425916,434.5753109230,1578.9345106984,
coarse_lhs,standard,coarse_lhs,20250818,36,,6.265074080472,358.9623031479,121.3563669687,5.3968239122,4.0578670586,9.4546909708,True,,9.4546909708,29.4546909708,,0.0000000000,,,,,,18454.8315306905,-11.8610992148,1800.0000000000,18947.1987712310,-20.7794490750,1719.3152031793,
coarse_lhs,standard,coarse_lhs,20250818,37,,0.484470291623,27.7581030094,79.3669265728,0.2936110296,9.4610375866,9.7546486162,True,,9.7546486162,29.7546486162,,0.0000000000,,,,,,17820.6213366752,10.8531339723,1800.0000000000,18485.1033271420,360.5740166813,1361.3949621444,
coarse_lhs,standard,coarse_lhs,20250818,38,,2.558917493596,146.6151725052,112.3508345329,7.4745511157,5.8019447082,13.2764958240,True,,13.2764958240,33.2764958240,,0.0000000000,,,,,,17098.7957023219,462.0926728479,1800.0000000000,16554.5023392379,820.7812544692,1635.0534442518,
coarse_lhs,standard,coarse_lhs,20250818,39,,6.108115187373,349.9692210162,95.9934226877,1.1539891010,6.9682116304,8.1222007314,True,,8.1222007314,28.1222007314,,0.0000000000,,,,,,17909.0820876789,-19.2945411005,1800.0000000000,18567.7599481572,-135.8020935449,1562.0757306998,
coarse_lhs,standard,coarse_lhs,20250818,40,,3.897726063029,223.3232531097,111.3697431740,0.2469066593,11.7860887598,12.0329954191,True,,12.0329954191,32.0329954191,,0.0000000000,,,,,,17779.9954100380,-18.8667061879,1800.0000000000,16825.0763584418,-919.4688786856,1119.3317475565,
coarse_lhs,standard,coarse_lhs,20250818,41,,2.182254184223,125.0339545807,121.2234424873,8.3043673227,0.0115564856,8.3159238083,True,,8.3159238083,28.3159238083,,0.0000000000,,,,,,17222.1011933337,824.2849228991,1800.0000000000,17221.2969804460,825.4320105042,1799.9993455934,
coarse_lhs,standard,coarse_lhs,20250818,42,,5.290533165686,303.1252217678,102.8686421683,8.3852165612,2.4766070911,10.8618236523,True,,10.8618236523,30.8618236523,,0.0000000000,,,,,,18271.3724019719,-722.3884978004,1800.0000000000,18410.5941173272,-935.7488163002,1769.9454448497,
coarse_lhs,standard,coarse_lhs,20250818,43,,5.758430115223,329.9337422233,135.5215592694,4.7615882364,2.6621211673,7.4237094037,True,,7.4237094037,27.4237094037,,0.0000000000,,,,,,18358.4708517556,-323.2949720548,1800.0000000000,18670.7021917956,-504.0435680389,1765.2742433641,
coarse_lhs,standard,coarse_lhs,20250818,44,,3.892270446984,223.0106693357,133.2774289989,0.2591841144,9.8231569080,10.0823410223,True,,10.0823410223,30.0823410223,,0.0000000000,,,,,,17774.7409494923,-23.5632409925,1800.0000000000,16817.4152388560,-916.6172542925,1327.1773829720,
coarse_lhs,standard,coarse_lhs,20250818,45,,4.943508879979,283.2421948082,75.3002928324,4.4857448752,7.5439979286,12.0297428038,True,,12.0297428038,32.0297428038,,0.0000000000,,,,,,17877.3740373204,-328.7965478583,1800.0000000000,18007.4994888363,-881.7572143641,1521.1316667433,
coarse_lhs,standard,coarse_lhs,20250818,46,,4.981564030750,285.4225943362,90.6980124093,7.3216801635,1.9200428637,9.2417230272,True,,9.2417230272,29.2417230272,,0.0000000000,,,,,,17976.5981373456,-640.1493755449,1800.0000000000,18022.9093645208,-808.0226249604,1781.9358334672,
coarse_lhs,standard,coarse_lhs,20250818,47,,0.014635262014,0.8385387454,72.8058673554,1.0290877027,0.1537683360,1.1828560387,True,,1.1828560387,21.1828560387,"[3.8194407169, 7.1086634853]",3.2892227683,,,,,,17874.9155989423,1.0964877064,1800.0000000000,17886.1096370799,1.2603270854,1799.8841409643,
coarse_lhs,standard,coarse_lhs,20250818,48,,4.450035253415,254.9682387051,130.1403457162,1.4528039668,0.2312466858,1.6840506526,True,,1.6840506526,21.6840506526,,0.0000000000,,,,,,17750.9642652798,-182.5989062668,1800.0000000000,17743.1591164785,-211.6636616437,1799.7379723545,
coarse_lhs,standard,coarse_lhs,20250818,49,,5.976777350336,342.4441172636,85.2642185824,9.2036031319,2.3629972343,11.5666003662,True,,11.5666003662,31.5666003662,,0.0000000000,,,,,,18548.1874487962,-236.7051243980,1800.0000000000,18740.2823106550,-297.4784483099,1772.6395959467,
coarse_lhs,standard,coarse_lhs,20250818,50,,2.366397822159,135.5846078587,132.3960621614,2.7526556351,1.1764622103,3.9291178454,True,,3.9291178454,23.9291178454,,0.0000000000,,,,,,17539.6855386305,255.0557851671,1800.0000000000,17428.4292947748,364.0645143866,1793.2180896719,
coarse_lhs,standard,coarse_lhs,20250818,51,,3.789626841146,217.1296239272,92.4624860581,1.4421782494,2.3919254724,3.8341037218,True,,3.8341037218,23.8341037218,,0.0000000000,,,,,,17693.6858703083,-80.4911874372,1800.0000000000,17517.3585161898,-213.9898874857,1771.9655934196,
coarse_lhs,standard,coarse_lhs,20250818,52,,4.004348121039,229.4322470367,117.1501738787,0.6438697930,1.8247220889,2.4685918819,True,,2.4685918819,22.4685918819,,0.0000000000,,,,,,17750.9446944766,-57.2990415779,1800.0000000000,17611.9223322940,-219.6840889433,1783.6849075618,
coarse_lhs,standard,coarse_lhs,20250818,53,,4.639478804973,265.8225546653,134.3178712837,13.4233732258,0.0356511568,13.4590243827,True,,13.4590243827,33.4590243827,,0.0000000000,,,,,,17668.6594702747,-1798.2087644237,1800.0000000000,17668.3106427671,-1802.9846297461,1799.9937720756,
