profile,seed,generation,best_duration_s
standard,20250841,1,9.820190429687528
standard,20250841,2,9.824554443359382
standard,20250841,3,9.825866699218743
standard,20250841,4,9.825866699218743
standard,20250841,5,9.8283203125
standard,20250841,6,9.8283203125
standard,20250841,7,9.829492187500021
standard,20250841,8,9.832080078125006
standard,20250841,9,9.832080078125006
standard,20250841,10,9.833105468749993
standard,20250841,11,9.836010742187472
standard,20250841,12,9.837866210937511
standard,20250841,13,9.838201904296893
standard,20250841,14,9.84333496093751
standard,20250841,15,9.852246093749997
standard,20250841,16,9.852362060546891
standard,20250841,17,9.852362060546891
standard,20250841,18,9.853161621093754
standard,20250841,19,9.853161621093754
standard,20250841,20,9.853161621093754
standard,20250841,21,9.85388793945312
standard,20250841,22,9.85648193359377
standard,20250841,23,9.85648193359377
standard,20250841,24,9.857830810546867
standard,20250841,25,9.857830810546867
standard,20250841,26,9.857830810546867
standard,20250841,27,9.857830810546867
standard,20250841,28,9.857830810546867
standard,20250841,29,9.857830810546867
standard,20250841,30,9.857830810546867
standard,20250841,31,9.858789062500001
standard,20250841,32,9.860040283203135
standard,20250841,33,9.860040283203135
standard,20250841,34,9.860308837890631
standard,20250841,35,9.861328125
standard,20250841,36,9.864343261718757
standard,20250841,37,9.864343261718757
standard,20250841,38,9.868426513671873
standard,20250841,39,9.868426513671873
standard,20250841,40,9.868426513671873
standard,20250841,41,9.869000244140631
standard,20250841,42,9.869000244140631
standard,20250841,43,9.869000244140631
standard,20250841,44,9.869000244140631
standard,20250841,45,9.869000244140631
standard,20250841,46,9.869000244140631
standard,20250841,47,9.869000244140631
standard,20250841,48,9.869195556640639
standard,20250841,49,9.869195556640639
standard,20250841,50,9.869195556640639
standard,20250841,51,9.869305419921892
standard,20250841,52,9.870806884765628
standard,20250841,53,9.87576293945312
standard,20250841,54,9.879779052734396
standard,20250841,55,9.879779052734396
standard,20250841,56,9.88101806640625
standard,20250841,57,9.884075927734386
standard,20250841,58,9.884075927734386
standard,20250841,59,9.897692871093746
standard,20250841,60,9.908422851562491
standard,20250841,61,9.91483154296875
standard,20250841,62,9.91483154296875
standard,20250841,63,9.915692138671895
standard,20250841,64,9.915692138671895
standard,20250841,65,9.915692138671895
standard,20250841,66,9.915692138671895
standard,20250841,67,9.915692138671895
standard,20250841,68,9.915692138671895
standard,20250841,69,9.915692138671895
standard,20250841,70,9.915692138671895
standard,20250841,71,9.915692138671895
standard,20250841,72,9.915692138671895
standard,20250841,73,9.915692138671895
standard,20250841,74,9.915692138671895
standard,20250841,75,9.91689453125002
standard,20250841,76,9.919207763671864
standard,20250841,77,9.919207763671864
standard,20250841,78,9.91996459960938
standard,20250841,79,9.91996459960938
standard,20250841,80,9.91996459960938
standard,20250841,81,9.921313476562514
standard,20250841,82,9.921313476562514
standard,20250841,83,9.921313476562514
standard,20250841,84,9.92155761718752
standard,20250841,85,9.922314453124995
standard,20250841,86,9.922314453124995
standard,20250841,87,9.922314453124995
standard,20250841,88,9.922314453124995
standard,20250841,89,9.924316406250004
standard,20250841,90,9.924316406250004
standard,20250842,1,9.823895263671874
standard,20250842,2,9.82506713867188
standard,20250842,3,9.82628173828126
standard,20250842,4,9.831359863281257
standard,20250842,5,9.831359863281257
standard,20250842,6,9.833258056640627
standard,20250842,7,9.83431396484376
standard,20250842,8,9.835675048828122
standard,20250842,9,9.836236572265626
standard,20250842,10,9.836907958984394
standard,20250842,11,9.837548828125005
standard,20250842,12,9.838208007812486
standard,20250842,13,9.838208007812486
standard,20250842,14,9.838208007812486
standard,20250842,15,9.83981933593752
standard,20250842,16,9.84307250976563
standard,20250842,17,9.843072509765634
standard,20250842,18,9.844824218750002
standard,20250842,19,9.844824218750002
standard,20250842,20,9.846563720703134
standard,20250842,21,9.846563720703134
standard,20250842,22,9.84798583984377
standard,20250842,23,9.85054931640625
standard,20250842,24,9.850695800781265
standard,20250842,25,9.85361938476564
standard,20250842,26,9.855261230468752
standard,20250842,27,9.856890869140635
standard,20250842,28,9.860021972656266
standard,20250842,29,9.860021972656266
standard,20250842,30,9.860021972656266
standard,20250842,31,9.860791015625018
standard,20250842,32,9.861743164062508
standard,20250842,33,9.861743164062508
standard,20250842,34,9.863079833984361
standard,20250842,35,9.867553710937528
standard,20250842,36,9.8680419921875
standard,20250842,37,9.868206787109372
standard,20250842,38,9.86886596679689
standard,20250842,39,9.875433349609388
standard,20250842,40,9.875494384765616
standard,20250842,41,9.880773925781263
standard,20250842,42,9.882714843750005
standard,20250842,43,9.882714843750005
standard,20250842,44,9.884832763671866
standard,20250842,45,9.88536376953125
standard,20250842,46,9.88536376953125
standard,20250842,47,9.889099121093759
standard,20250842,48,9.891552734374999
standard,20250842,49,9.891552734374999
standard,20250842,50,9.891552734374999
standard,20250842,51,9.893157958984384
standard,20250842,52,9.893157958984384
